True Positives	 False Negatives	 False Positives	 True Negatives	 False Positive Rate	 True Positive Rate	 Precision numeric	 Recall numeric	 Fallout numeric	 FMeasure numeric	 Sample Size	 Lift numeric	 Threshold numeric		da curva maior para a menor
24	15	39	117	0,25	0,615385	0,380952	0,615385	0,619048	0,470588	0,323077	1,904762	222		
24	15	38	118	0,24359	0,615385	0,387097	0,615385	0,612903	0,475248	0,317949	1,935484	235		
23	16	38	118	0,24359	0,589744	0,377049	0,589744	0,622951	0,46	0,312821	1,885246	0,24		
23	16	37	119	0,237179	0,589744	0,383333	0,589744	0,616667	0,464646	0,307692	1,916667	0,242548		
22	17	37	119	0,237179	0,564103	0,372881	0,564103	0,627119	0,44898	0,302564	1,864407	0,25		
22	17	36	120	0,230769	0,564103	0,37931	0,564103	0,62069	0,453608	0,297436	1,896552	0,27956		
21	18	36	120	0,230769	0,538462	0,368421	0,538462	0,631579	0,4375	0,292308	1,842105	0,28		
21	18	35	121	0,224359	0,538462	375	0,538462	625	0,442105	0,287179	1875	0,281857		
21	18	34	122	0,217949	0,538462	0,381818	0,538462	0,618182	0,446809	0,282051	1,909091	0,29		
21	18	33	123	0,211538	0,538462	0,388889	0,538462	0,611111	0,451613	0,276923	1,944444	0,3		
21	18	32	124	0,205128	0,538462	0,396226	0,538462	0,603774	0,456522	0,271795	1,981132	0,34		
21	18	31	125	0,198718	0,538462	0,403846	0,538462	0,596154	0,461538	0,266667	2,019231	0,36		
21	18	30	126	0,192308	0,538462	0,411765	0,538462	0,588235	0,466667	0,261538	2,058824	0,36363		
21	18	29	127	0,185897	0,538462	0,42	0,538462	0,58	0,47191	0,25641	2,1	0,378333		
21	18	28	128	0,179487	0,538462	0,428571	0,538462	0,571429	0,477273	0,251282	2,142857	0,393652		
20	19	28	128	0,179487	0,512821	0,416667	0,512821	0,583333	0,45977	0,246154	2,083333	0,3975		
20	19	27	129	0,173077	0,512821	0,425532	0,512821	0,574468	0,465116	0,241026	2,12766	0,397778		
19	20	27	129	0,173077	0,487179	0,413043	0,487179	0,586957	0,447059	0,235897	2,065217	0,4		
18	21	27	129	0,173077	0,461538	0,4	0,461538	0,6	0,428571	0,230769	2	0,41		
18	21	26	130	0,166667	0,461538	0,409091	0,461538	0,590909	0,433735	0,225641	2,045455	0,42		
18	21	24	132	0,153846	0,461538	0,428571	0,461538	0,571429	0,444444	0,215385	2,142857	0,437793		
18	21	23	133	0,147436	0,461538	0,439024	0,461538	0,560976	0,45	0,210256	2,195122	0,44		
16	23	23	133	0,147436	0,410256	0,410256	0,410256	0,589744	0,410256	0,2	2,051282	0,45		
15	24	23	133	0,147436	0,384615	0,394737	0,384615	0,605263	0,38961	0,194872	1,973684	0,46		
15	24	22	134	0,141026	0,384615	0,405405	0,384615	0,594595	0,394737	0,189744	2,027027	0,460184		
15	24	21	135	0,134615	0,384615	0,416667	0,384615	0,583333	0,4	0,184615	2,083333	0,49		
15	24	20	136	0,128205	0,384615	0,428571	0,384615	0,571429	0,405405	0,179487	2,142857	0,491365		
14	25	20	136	0,128205	0,358974	0,411765	0,358974	0,588235	0,383562	0,174359	2,058824	0,493024		
14	25	19	137	0,121795	0,358974	0,424242	0,358974	0,575758	0,388889	0,169231	2,121212	0,5		
14	25	18	138	0,115385	0,358974	0,4375	0,358974	0,5625	0,394366	0,164103	2,1875	0,537952		
13	26	17	139	0,108974	0,333333	0,433333	0,333333	0,566667	0,376812	0,153846	2,166667	0,539264		
